I2;G7 ;AR1;S3;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM6;TP9;TM1;FR2;SM5;T2;PM2;EDM14;ECM7 ;MOM4;PP2;EDP1;ECP9;MOP12;DF1;QDF0;IS1;PT2;CAT2;NM1
I2;G6;AR1;S6;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM1;TP1;TM3;FR4;SM5;T2;PM2;EDM1;ECM9;MOM15;PP2;EDP1;ECP9;MOP1;DF1;QDF0;IS1;PT2;CAT2;NM1
I2;G1;AR1;S1;PCD2;QPCD0;PE1;AU6;MO10;ED2;KM1;TP11;TM5;FR5;SM5;T2;PM2;EDM1;ECM4 ;MOM2;PP2;EDP1;ECP7 ;MOP5;DF1;QDF0;IS2;PT4;CAT2;NM2
I2;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO2;ED2;KM2;TP11;TM2;FR7;SM5;T2;PM2;EDM13;ECM2 ;MOM2;PP2;EDP1;ECP9;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G1;AR3;S1;PCD2;QPCD0;PE2;AU0;MO6;ED2;KM6;TP9;TM1;FR2;SM5;T2;PM2;EDM1;ECM7 ;MOM2;PP2;EDP1;ECP7 ;MOP5;DF1;QDF0;IS1;PT4;CAT2;NM1
I2;G1;AR1;S1;PCD2;QPCD0;PE1;AU1;MO15;ED2;KM4;TP11;TM3;FR6;SM5;T2;PM2;EDM4;ECM7 ;MOM4;PP2;EDP13;ECP5 ;MOP12;DF1;QDF0;IS1;PT1;CAT2;NM2
I2;G1;AR3;S3;PCD2;QPCD0;PE1;AU2;MO15;ED1;KM2;TP1;TM4;FR6;SM5;T2;PM2;EDM3;ECM2 ;MOM1;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT1;CAT2;NM2
I2;G1;AR1;S3;PCD2;QPCD0;PE1;AU1;MO10;ED2;KM4;TP7;TM4;FR4;SM5;T2;PM2;EDM1;ECM2 ;MOM2;PP2;EDP1;ECP6 ;MOP11;DF1;QDF0;IS1;PT2;CAT2;NM2
I2;G1;AR1;S3;PCD2;QPCD0;PE1;AU2;MO9;ED2;KM4;TP7;TM2;FR6;SM5;T2;PM2;EDM1;ECM9;MOM15;PP2;EDP1;ECP9;MOP10;DF1;QDF0;IS1;PT4;CAT2;NM2
I1;G1;AR3;S3;PCD2;QPCD0;PE1;AU2;MO15;ED2;KM1;TP1;TM3;FR4;SM1;T1;PM2;EDM1;ECM7 ;MOM2;PP2;EDP6 ;ECP6 ;MOP2;DF1;QDF0;IS2;PT4;CAT1;NM0
I4;G2;AR3;S1;PCD2;QPCD0;PE1;AU2;MO10;ED2;KM1;TP2;TM5;FR5;SM1;T1;PM1;EDM0;ECM0;MOM0;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT4;CAT1;NM0
I1;G5;AR1;S2;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM1;TP11;TM3;FR4;SM1;T1;PM2;EDM1;ECM9;MOM2;PP2;EDP1;ECP7 ;MOP10;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G1;AR1;S5;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM1;TP11;TM4;FR3;SM1;T1;PM2;EDM1;ECM9;MOM13;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT4;CAT1;NM0
I1;G2;AR2;S1;PCD2;QPCD0;PE2;AU0;MO6;ED2;KM6;TP11;TM1;FR2;SM1;T1;PM2;EDM7;ECM7 ;MOM2;PP2;EDP13;ECP7 ;MOP2;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM2;TP4;TM2;FR4;SM1;T1;PM2;EDM1;ECM9;MOM13;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS2;PT1;CAT1;NM0
